path,type,lines,sha256_prefix,validation,review_depth,signals_to_check
src/BuildingBlocks/BuildingBlocks.Web/Exceptions/AppException.cs,cs,69,44899c86cc0d0d86,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Extensions/AuditExtensions.cs,cs,29,a0ff00bf91f87f05,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Extensions/AuthenticationExtensions.cs,cs,51,5f5b5b14a885f315,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Extensions/AuthorizationExtensions.cs,cs,29,74dd0ae40e618223,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Extensions/ConfigurationValidationExtensions.cs,cs,91,74c9b4d316855211,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Extensions/HealthCheckExtensions.cs,cs,106,c6094b5d87361aaf,C# included in project-tree scan,automated inspection,manual_time
src/BuildingBlocks/BuildingBlocks.Web/Extensions/JwtAuthenticationExtensions.cs,cs,121,464fc8db51af54f2,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Extensions/LocalizationExtensions.cs,cs,99,b2bc9a59a5c61214,C# included in project-tree scan,automated inspection,query_materialization
src/BuildingBlocks/BuildingBlocks.Web/Extensions/ResultExtensions.cs,cs,43,8fcc04b209e49194,C# included in project-tree scan,automated inspection,suppressed_nullable
src/BuildingBlocks/BuildingBlocks.Web/Extensions/UtilityExtensions.cs,cs,16,c5b239133801c4f0,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/GlobalUsings.cs,cs,1,d7e739a6eed2e7cf,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Helpers/ProblemDetailsHelper.cs,cs,187,3191779ab977e6ea,C# included in project-tree scan,automated inspection,query_materialization
src/BuildingBlocks/BuildingBlocks.Web/Helpers/UserHelper.cs,cs,68,2480cc0a3343b5f3,C# included in project-tree scan,automated inspection,enumerable_input
src/BuildingBlocks/BuildingBlocks.Web/Helpers/ValidationErrorLocalizer.cs,cs,101,b86215840a9c3559,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Localization/RequestLocalizationContext.cs,cs,23,108efb80d603882e,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Localization/RequestLocalizationContextMiddleware.cs,cs,15,b4945a766876448f,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Middleware/CommonMiddleware.cs,cs,84,a2a81d9e0708e356,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Middleware/ExceptionHandlingMiddleware.cs,cs,180,ddaf0dc01ab34dc1,C# included in project-tree scan,automated inspection,broad_exception_catch
src/BuildingBlocks/BuildingBlocks.Web/Middleware/SecurityHeadersMiddleware.cs,cs,101,6eb7720e3db86bb2,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Observability/LoggingExtensions.cs,cs,293,b9d15cab18e53361,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Observability/ObservabilityExtensions.cs,cs,121,ea1f66bf620cd04b,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/Observability/TracingMiddleware.cs,cs,45,edf5a8dfa51e5fb8,C# included in project-tree scan,automated inspection,broad_exception_catch
src/BuildingBlocks/BuildingBlocks.Web/OpenApi/ApiVersioningExtensions.cs,cs,29,b568e177b4b3a58a,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/OpenApi/OpenApiExtensions.cs,cs,25,428834c3387ee1b3,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Web/OpenApi/SwaggerUiExtensions.cs,cs,34,6ae44bcb03e18bf9,C# included in project-tree scan,automated inspection,
